path,language,bytes,lines,sha1,primary_module,modules,module_score,overlaps,guessed_role,guess_confidence,guess_reason,notes
scripts/setup_cesarops_tunnel.sh,shell,3165,71,6a415a58fcc40b19ac0eaff54c690b4479b16377,geometry_context,"geometry_context,sar_ripple_glint",2,1,devops_runtime,medium,"role_score=6, next_best=4",
scripts/switch_kobold_preset.sh,shell,3159,84,5349cee9fd323596c7063414f27d3206e4ed5388,sar_ripple_glint,sar_ripple_glint,1,0,llm_inference_serving,medium,"role_score=4, next_best=4",
scripts/download_32b_t440.sh,shell,1927,51,07d15735a6720bccf0f66cd3dcca7d0a65fc9951,sar_ripple_glint,sar_ripple_glint,1,0,devops_runtime,medium,"role_score=4, next_best=2",
scripts/run_research_overnight.py,python,11634,288,7000ff0330856397511fd97736155eefa4a72f7a,spectral_plume_clarity,"spectral_plume_clarity,geometry_context,altimetry_displacement,sar_ripple_glint,thermal_sync",10,4,llm_inference_serving,medium,"role_score=4, next_best=3",
scripts/swap_model.sh,shell,7025,181,ce886d98e90648c16e9bcee514bb19883ca77a62,sar_ripple_glint,sar_ripple_glint,1,0,llm_inference_serving,medium,"role_score=6, next_best=4",
scripts/credentials.sh,shell,6765,124,68b7010f8be791abf02485dffbcccf888f2e30ef,geometry_context,"geometry_context,sar_ripple_glint",2,1,llm_inference_serving,medium,"role_score=5, next_best=4",
scripts/setup_samba.sh,shell,2060,72,5d0e34f6f75a87b9e1a29e3eaf5f3b9079ad6ed3,sar_ripple_glint,sar_ripple_glint,1,0,devops_runtime,medium,"role_score=4, next_best=2",
scripts/test_searxng.sh,shell,2172,64,f793e63992f844730d3fa39e40652d1d8ddd857c,sar_ripple_glint,sar_ripple_glint,1,0,evaluation_testing,medium,"role_score=4, next_best=3",
scripts/deploy_searxng.sh,shell,2884,94,21b621bf7daae05e89e28763b81291a4ce11797d,sar_ripple_glint,sar_ripple_glint,1,0,devops_runtime,high,"role_score=7, next_best=3",
scripts/deploy_native_search.sh,shell,15777,684,3214f157075a7a281f3ccc2c7424d50fdd4d109c,geometry_context,"geometry_context,sar_ripple_glint",3,1,devops_runtime,high,"role_score=8, next_best=3",
scripts/setup_thought_engine.sh,shell,2707,83,11dd4afffb0667fad9f7c516063294dff2a6c114,geometry_context,"geometry_context,sar_ripple_glint",2,1,devops_runtime,high,"role_score=6, next_best=2",
scripts/test_thought_engine.py,python,2305,70,49ac92b1c8c43512454a49a4dfdec71822dcb812,geometry_context,"geometry_context,sar_ripple_glint",2,1,evaluation_testing,low,"role_score=3, next_best=1",
scripts/deploy_web.py,python,8254,237,a7e7767732f7f79b6f9c4e7d52839c93207e7e11,sar_ripple_glint,sar_ripple_glint,1,0,data_ingest_etl,low,"role_score=2, next_best=2",
scripts/feed_r1_spec.py,python,5028,107,0c3cb2a6ae0dfd535ef6c337b79b308dc7fbd944,geometry_context,"geometry_context,sar_ripple_glint",2,1,llm_inference_serving,medium,"role_score=7, next_best=5",
scripts/feed_r1_chunked.py,python,3840,75,9c70b5b8bff10eca4c10c10727178b7f5a1632b1,geometry_context,"geometry_context,sar_ripple_glint",3,1,llm_inference_serving,medium,"role_score=7, next_best=4",
scripts/r1_router.py,python,10151,237,fc5ac22cc5343691988f8d96759d791a273016e0,geometry_context,geometry_context,1,0,llm_inference_serving,low,"role_score=3, next_best=3",
scripts/launch_strand_bf16.sh,shell,726,27,222ddbb7dc7879f8406e605358fb182317e75ca5,sar_ripple_glint,sar_ripple_glint,1,0,llm_inference_serving,low,"role_score=2, next_best=2",
scripts/build_orchestrator.py,python,10094,292,d5c8f4db2636f6ac51675509324f33115f0976d1,geometry_context,"geometry_context,sar_ripple_glint",3,1,llm_inference_serving,medium,"role_score=4, next_best=3",
scripts/build_loop.py,python,8985,240,4ad365f141f63c5ab6aad8b4849281cd98f95ef6,geometry_context,"geometry_context,sar_ripple_glint",2,1,llm_inference_serving,medium,"role_score=4, next_best=3",
scripts/swap_to_moe.sh,shell,555,23,2444bcd93f3cb38480615370c2f429796b0362ef,sar_ripple_glint,sar_ripple_glint,1,0,llm_inference_serving,low,"role_score=2, next_best=2",
scripts/launch_t440_dashboard.sh,shell,2044,59,8d9d0051be8b890d3e4b8fa14b5874d7c3b35650,sar_ripple_glint,sar_ripple_glint,1,0,llm_inference_serving,low,"role_score=3, next_best=3",
scripts/fix_arena_mlock.py,python,716,24,7ad0525c9285cc1ad06c4d1160dfdb5bd2016f1f,sar_ripple_glint,sar_ripple_glint,1,0,llm_inference_serving,low,"role_score=1, next_best=1",
scripts/agent_dispatch.sh,shell,1057,37,7eaa28d978d60b4f5f321c2193553ae88a21ca8b,unclassified,,0,0,llm_inference_serving,medium,"role_score=4, next_best=2",
scripts/verify_layer0_ffn.py,python,7360,190,3e7f5a1a78ebd3a0e6cd259bc6a1909537446113,unclassified,,0,0,llm_inference_serving,low,"role_score=2, next_best=2",
scripts/start_picasso.sh,shell,415,14,f8b6714e4be487326dc9567e8e8b0cb694f5f7a0,sar_ripple_glint,sar_ripple_glint,1,0,devops_runtime,low,"role_score=3, next_best=2",
scripts/start_marvin.sh,shell,506,15,067e4ed3a68527b1cfc3fad7e63b36606214fceb,sar_ripple_glint,sar_ripple_glint,1,0,devops_runtime,low,"role_score=3, next_best=2",
scripts/start_scout.sh,shell,357,13,0739fe062e0ac5901d61d04b54d80ce778bcda63,sar_ripple_glint,sar_ripple_glint,1,0,devops_runtime,low,"role_score=3, next_best=2",
scripts/scrape_nos_great_lakes.py,python,8301,224,73347ba4e7cd823e1205c8af0c64e613710347d7,geometry_context,"geometry_context,sar_ripple_glint",2,1,data_ingest_etl,medium,"role_score=4, next_best=2",
scripts/datum_correction.py,python,27132,644,dd44c01ef948155fdef899b715fcf46ee95fbaa8,geometry_context,geometry_context,2,0,drift_analysis,low,"role_score=1, next_best=1",
scripts/wh2k_harvester.py,python,29425,734,e6a14646a480f38f10ba8ae17adca34a4d42134d,geometry_context,"geometry_context,thermal_sync",4,1,data_ingest_etl,medium,"role_score=4, next_best=2",
scripts/wh2k_warp_field_export.py,python,9934,242,05c2ac3f2ed34de5e4ea40cba8eaaa85b72cacfa,spectral_plume_clarity,spectral_plume_clarity,1,0,llm_inference_serving,low,"role_score=1, next_best=1",
scripts/conductor_ship_search.sh,shell,5117,127,176e39542c74963e7e773d124017df43be9fd557,geometry_context,"geometry_context,sar_ripple_glint",2,1,devops_runtime,low,"role_score=3, next_best=2",
scripts/sat_mi_straits_p100_array.py,python,8224,247,753955acb777a9cb35b40a3bd7875688c51172b0,geometry_context,"geometry_context,spectral_plume_clarity",2,1,data_ingest_etl,low,"role_score=2, next_best=2",
scripts/setup_t440_nfs_exports.sh,shell,2805,79,288a32b8d4fb07180547d2800dcd2ce89d643cce,geometry_context,"geometry_context,sar_ripple_glint",2,1,devops_runtime,medium,"role_score=4, next_best=1",
scripts/setup_cesarops2_mag_data.sh,shell,3843,94,a63c1c6c96be8bf2eff54b12fe4a26e38a20fcc6,geometry_context,"geometry_context,sar_ripple_glint",2,1,devops_runtime,medium,"role_score=4, next_best=2",
scripts/cesarops2_research_lab.sh,shell,8580,257,13cb914aa462b14ba85701d3d1d34ec5e92b6431,sar_ripple_glint,"sar_ripple_glint,thermal_sync",2,1,llm_inference_serving,low,"role_score=3, next_best=3",
scripts/p100_cycle.sh,shell,3356,100,f7c7dd5bd86298dc38dee11a30c3b4945ec88201,sar_ripple_glint,sar_ripple_glint,1,0,llm_inference_serving,low,"role_score=3, next_best=2",
scripts/test_orchestrator_pipeline.sh,shell,1570,59,d07c873c1fb841973ac45d18c27424736415246f,geometry_context,geometry_context,1,0,orchestration_dispatch,low,"role_score=3, next_best=3",
scripts/deploy_forge.sh,shell,700,18,4989f1c4c078801f5ff5634c4e7f021da2851c42,sar_ripple_glint,sar_ripple_glint,1,0,devops_runtime,medium,"role_score=4, next_best=1",
scripts/resume_satellite_pipeline.sh,shell,8153,189,16be2f2063df2a220f44c870b830bad681a8e5e2,spectral_plume_clarity,"spectral_plume_clarity,geometry_context,sar_ripple_glint",4,2,devops_runtime,low,"role_score=3, next_best=3",
scripts/download_cluster_models.sh,shell,3424,107,f9cea308a393ca3ab3a636704612aa79035562b1,sar_ripple_glint,sar_ripple_glint,1,0,llm_inference_serving,low,"role_score=2, next_best=2",
